full_text,cleaning,case_folding,tokenize,filtering/stopword removal,stemming_data
"Nonton debat capres emang yg ditunggu saling serangnya, liat respon mereka pas diserang/ditanya biar keliatan wajah"" asli mereka""",Nonton debat capres emang yg ditunggu saling serangnya liat respon mereka pas diserangditanya biar keliatan wajah asli mereka,nonton debat capres emang yg ditunggu saling serangnya liat respon mereka pas diserangditanya biar keliatan wajah asli mereka,"['nonton', 'debat', 'capres', 'emang', 'yg', 'ditunggu', 'saling', 'serangnya', 'liat', 'respon', 'mereka', 'pas', 'diserangditanya', 'biar', 'keliatan', 'wajah', 'asli', 'mereka']","['nonton', 'debat', 'capres', 'emang', 'yg', 'ditunggu', 'serangnya', 'liat', 'respon', 'pas', 'diserangditanya', 'biar', 'keliatan', 'wajah', 'asli']",nonton debat capres emang yg tunggu serang liat respon pas diserangditanya biar liat wajah asli
"hal yg ngeselin stelah debat capres itu muncul orang orang yg ngebego begoin opini orang lain, padahal kan yaudah gitu beda opini biarin aje",hal yg ngeselin stelah debat capres itu muncul orang orang yg ngebego begoin opini orang lain padahal kan yaudah gitu beda opini biarin aje,hal yg ngeselin stelah debat capres itu muncul orang orang yg ngebego begoin opini orang lain padahal kan yaudah gitu beda opini biarin aje,"['hal', 'yg', 'ngeselin', 'stelah', 'debat', 'capres', 'itu', 'muncul', 'orang', 'orang', 'yg', 'ngebego', 'begoin', 'opini', 'orang', 'lain', 'padahal', 'kan', 'yaudah', 'gitu', 'beda', 'opini', 'biarin', 'aje']","['yg', 'ngeselin', 'stelah', 'debat', 'capres', 'muncul', 'orang', 'orang', 'yg', 'ngebego', 'begoin', 'opini', 'orang', 'yaudah', 'gitu', 'beda', 'opini', 'biarin', 'aje']",yg ngeselin stelah debat capres muncul orang orang yg ngebego begoin opini orang yaudah gitu beda opini biarin aje
YaAllah bete banget hrsnya mending w kemaren nontonin debat capres aja daripada ngurusin idup,YaAllah bete banget hrsnya mending w kemaren nontonin debat capres aja daripada ngurusin idup,yaallah bete banget hrsnya mending w kemaren nontonin debat capres aja daripada ngurusin idup,"['yaallah', 'bete', 'banget', 'hrsnya', 'mending', 'w', 'kemaren', 'nontonin', 'debat', 'capres', 'aja', 'daripada', 'ngurusin', 'idup']","['yaallah', 'bete', 'banget', 'hrsnya', 'mending', 'w', 'kemaren', 'nontonin', 'debat', 'capres', 'aja', 'ngurusin', 'idup']",yaallah bete banget hrsnya mending w kemaren nontonin debat capres aja ngurusin idup
Untung aja semalam ada debat capres... Kalo ga .. yg dimasak hari ini tuh Emyu...,Untung aja semalam ada debat capres Kalo ga  yg dimasak hari ini tuh Emyu,untung aja semalam ada debat capres kalo ga  yg dimasak hari ini tuh emyu,"['untung', 'aja', 'semalam', 'ada', 'debat', 'capres', 'kalo', 'ga', 'yg', 'dimasak', 'hari', 'ini', 'tuh', 'emyu']","['untung', 'aja', 'semalam', 'debat', 'capres', 'kalo', 'ga', 'yg', 'dimasak', 'tuh', 'emyu']",untung aja malam debat capres kalo ga yg masak tuh emyu
"Prabowo Kerap Tak Efisien Waktu di Debat Capres,TKN: yang Penting Pesannya Sampai,Singkat,Padat https://t.co/kNykpzlbgn",Prabowo Kerap Tak Efisien Waktu di Debat CapresTKN yang Penting Pesannya SampaiSingkatPadat httpstcokNykpzlbgn,prabowo kerap tak efisien waktu di debat caprestkn yang penting pesannya sampaisingkatpadat httpstcoknykpzlbgn,"['prabowo', 'kerap', 'tak', 'efisien', 'waktu', 'di', 'debat', 'caprestkn', 'yang', 'penting', 'pesannya', 'sampaisingkatpadat', 'httpstcoknykpzlbgn']","['prabowo', 'kerap', 'efisien', 'debat', 'caprestkn', 'pesannya', 'sampaisingkatpadat', 'httpstcoknykpzlbgn']",prabowo kerap efisien debat caprestkn pesan sampaisingkatpadat httpstcoknykpzlbgn
"Debat capres yg diselenggarakan oleh KPU tanggal 12 desember 2023 pkl.19.00 wib di kantor KPU,  Jakarta. Tema debat tentang pemerintahan, hukum dan ham #AMINUnggulDebatCapres  #AMINTerbaikNomor1 https://t.co/BqfKmcOFqg",Debat capres yg diselenggarakan oleh KPU tanggal  desember  pkl wib di kantor KPU  Jakarta Tema debat tentang pemerintahan hukum dan ham AMINUnggulDebatCapres  AMINTerbaikNomor httpstcoBqfKmcOFqg,debat capres yg diselenggarakan oleh kpu tanggal  desember  pkl wib di kantor kpu  jakarta tema debat tentang pemerintahan hukum dan ham aminungguldebatcapres  aminterbaiknomor httpstcobqfkmcofqg,"['debat', 'capres', 'yg', 'diselenggarakan', 'oleh', 'kpu', 'tanggal', 'desember', 'pkl', 'wib', 'di', 'kantor', 'kpu', 'jakarta', 'tema', 'debat', 'tentang', 'pemerintahan', 'hukum', 'dan', 'ham', 'aminungguldebatcapres', 'aminterbaiknomor', 'httpstcobqfkmcofqg']","['debat', 'capres', 'yg', 'diselenggarakan', 'kpu', 'tanggal', 'desember', 'pkl', 'wib', 'kantor', 'kpu', 'jakarta', 'tema', 'debat', 'pemerintahan', 'hukum', 'ham', 'aminungguldebatcapres', 'aminterbaiknomor', 'httpstcobqfkmcofqg']",debat capres yg selenggara kpu tanggal desember pkl wib kantor kpu jakarta tema debat perintah hukum ham aminungguldebatcapres aminterbaiknomor httpstcobqfkmcofqg
dear tetangga kos.. maaf yaa kalo dr semalem full suara debat capres 😫,dear tetangga kos maaf yaa kalo dr semalem full suara debat capres ,dear tetangga kos maaf yaa kalo dr semalem full suara debat capres ,"['dear', 'tetangga', 'kos', 'maaf', 'yaa', 'kalo', 'dr', 'semalem', 'full', 'suara', 'debat', 'capres']","['dear', 'tetangga', 'kos', 'maaf', 'yaa', 'kalo', 'dr', 'semalem', 'full', 'suara', 'debat', 'capres']",dear tetangga kos maaf yaa kalo dr semalem full suara debat capres
"@papaojol @tanyakanrl Lu harus liat full sih bro, soalnya debat capres yg skrng naik kelas beda bgt sama debat 2014/2019 yg capres nya sama2 kosong",papaojol tanyakanrl Lu harus liat full sih bro soalnya debat capres yg skrng naik kelas beda bgt sama debat  yg capres nya sama kosong,papaojol tanyakanrl lu harus liat full sih bro soalnya debat capres yg skrng naik kelas beda bgt sama debat  yg capres nya sama kosong,"['papaojol', 'tanyakanrl', 'lu', 'harus', 'liat', 'full', 'sih', 'bro', 'soalnya', 'debat', 'capres', 'yg', 'skrng', 'naik', 'kelas', 'beda', 'bgt', 'sama', 'debat', 'yg', 'capres', 'nya', 'sama', 'kosong']","['papaojol', 'tanyakanrl', 'lu', 'liat', 'full', 'sih', 'bro', 'debat', 'capres', 'yg', 'skrng', 'kelas', 'beda', 'bgt', 'debat', 'yg', 'capres', 'nya', 'kosong']",papaojol tanyakanrl lu liat full sih bro debat capres yg skrng kelas beda bgt debat yg capres nya kosong
Debat capres makin yakin anis yg bakal jdi presiden 2024 wkwk yg dua lgi dagelan,Debat capres makin yakin anis yg bakal jdi presiden  wkwk yg dua lgi dagelan,debat capres makin yakin anis yg bakal jdi presiden  wkwk yg dua lgi dagelan,"['debat', 'capres', 'makin', 'yakin', 'anis', 'yg', 'bakal', 'jdi', 'presiden', 'wkwk', 'yg', 'dua', 'lgi', 'dagelan']","['debat', 'capres', 'anis', 'yg', 'jdi', 'presiden', 'wkwk', 'yg', 'lgi', 'dagelan']",debat capres anis yg jdi presiden wkwk yg lgi dagel
@narcisstsca RANDOM BANGET DEMI 😭😭😭😭😭 KELAMAAN NONTON DEBAT CAPRES KEMAREN MUNGKIN 😭😭,narcisstsca RANDOM BANGET DEMI  KELAMAAN NONTON DEBAT CAPRES KEMAREN MUNGKIN ,narcisstsca random banget demi  kelamaan nonton debat capres kemaren mungkin ,"['narcisstsca', 'random', 'banget', 'demi', 'kelamaan', 'nonton', 'debat', 'capres', 'kemaren', 'mungkin']","['narcisstsca', 'random', 'banget', 'nonton', 'debat', 'capres', 'kemaren']",narcisstsca random banget nonton debat capres kemaren
"Anies Baswedan mencecar capres nomor urut 3, Ganjar Pranowo mengenai tragedi Stadion Kanjuruhan. #DebatCapres  https://t.co/SARnNHjfp6",Anies Baswedan mencecar capres nomor urut  Ganjar Pranowo mengenai tragedi Stadion Kanjuruhan DebatCapres  httpstcoSARnNHjfp,anies baswedan mencecar capres nomor urut  ganjar pranowo mengenai tragedi stadion kanjuruhan debatcapres  httpstcosarnnhjfp,"['anies', 'baswedan', 'mencecar', 'capres', 'nomor', 'urut', 'ganjar', 'pranowo', 'mengenai', 'tragedi', 'stadion', 'kanjuruhan', 'debatcapres', 'httpstcosarnnhjfp']","['anies', 'baswedan', 'mencecar', 'capres', 'nomor', 'urut', 'ganjar', 'pranowo', 'tragedi', 'stadion', 'kanjuruhan', 'debatcapres', 'httpstcosarnnhjfp']",anies baswedan cecar capres nomor urut ganjar pranowo tragedi stadion kanjuruhan debatcapres httpstcosarnnhjfp
AMIN siap Debat Capres #AMINUnggulDebatCapres https://t.co/tNCXV0GyQr,AMIN siap Debat Capres AMINUnggulDebatCapres httpstcotNCXVGyQr,amin siap debat capres aminungguldebatcapres httpstcotncxvgyqr,"['amin', 'siap', 'debat', 'capres', 'aminungguldebatcapres', 'httpstcotncxvgyqr']","['amin', 'debat', 'capres', 'aminungguldebatcapres', 'httpstcotncxvgyqr']",amin debat capres aminungguldebatcapres httpstcotncxvgyqr
BUSET twt soal debat capres gua ada yg lumayan rame anjir takut bgt wow ini bukan akun politik pls pls ini akun serbaguna 😧😧,BUSET twt soal debat capres gua ada yg lumayan rame anjir takut bgt wow ini bukan akun politik pls pls ini akun serbaguna ,buset twt soal debat capres gua ada yg lumayan rame anjir takut bgt wow ini bukan akun politik pls pls ini akun serbaguna ,"['buset', 'twt', 'soal', 'debat', 'capres', 'gua', 'ada', 'yg', 'lumayan', 'rame', 'anjir', 'takut', 'bgt', 'wow', 'ini', 'bukan', 'akun', 'politik', 'pls', 'pls', 'ini', 'akun', 'serbaguna']","['buset', 'twt', 'debat', 'capres', 'gua', 'yg', 'lumayan', 'rame', 'anjir', 'takut', 'bgt', 'wow', 'akun', 'politik', 'pls', 'pls', 'akun', 'serbaguna']",buset twt debat capres gua yg lumayan rame anjir takut bgt wow akun politik pls pls akun serbaguna
Mari menonton debat capres yang seru banget itu!,Mari menonton debat capres yang seru banget itu,mari menonton debat capres yang seru banget itu,"['mari', 'menonton', 'debat', 'capres', 'yang', 'seru', 'banget', 'itu']","['mari', 'menonton', 'debat', 'capres', 'seru', 'banget']",mari tonton debat capres seru banget
"Hasil Debat Capres Pertama, Anies Baswedan Menangkan Hati Masyarakat? https://t.co/2TAKJbQvQ8 #debatcapresperdana #debatcaprespertama #AniesBaswedan #Anies-Imin #Prabowo-Gibran #Ganjar-Mahfud",Hasil Debat Capres Pertama Anies Baswedan Menangkan Hati Masyarakat httpstcoTAKJbQvQ debatcapresperdana debatcaprespertama AniesBaswedan AniesImin PrabowoGibran GanjarMahfud,hasil debat capres pertama anies baswedan menangkan hati masyarakat httpstcotakjbqvq debatcapresperdana debatcaprespertama aniesbaswedan aniesimin prabowogibran ganjarmahfud,"['hasil', 'debat', 'capres', 'pertama', 'anies', 'baswedan', 'menangkan', 'hati', 'masyarakat', 'httpstcotakjbqvq', 'debatcapresperdana', 'debatcaprespertama', 'aniesbaswedan', 'aniesimin', 'prabowogibran', 'ganjarmahfud']","['hasil', 'debat', 'capres', 'anies', 'baswedan', 'menangkan', 'hati', 'masyarakat', 'httpstcotakjbqvq', 'debatcapresperdana', 'debatcaprespertama', 'aniesbaswedan', 'aniesimin', 'prabowogibran', 'ganjarmahfud']",hasil debat capres anies baswedan menang hati masyarakat httpstcotakjbqvq debatcapresperdana debatcaprespertama aniesbaswedan aniesimin prabowogibran ganjarmahfud
Gatel pengen ikut nimbrung komen di medsos soal debat capres tapi tuntutan pekerjaan gak ngebolehin banyak ngurusin pesta demokrasi ini 🤣🤣,Gatel pengen ikut nimbrung komen di medsos soal debat capres tapi tuntutan pekerjaan gak ngebolehin banyak ngurusin pesta demokrasi ini ,gatel pengen ikut nimbrung komen di medsos soal debat capres tapi tuntutan pekerjaan gak ngebolehin banyak ngurusin pesta demokrasi ini ,"['gatel', 'pengen', 'ikut', 'nimbrung', 'komen', 'di', 'medsos', 'soal', 'debat', 'capres', 'tapi', 'tuntutan', 'pekerjaan', 'gak', 'ngebolehin', 'banyak', 'ngurusin', 'pesta', 'demokrasi', 'ini']","['gatel', 'pengen', 'nimbrung', 'komen', 'medsos', 'debat', 'capres', 'tuntutan', 'pekerjaan', 'gak', 'ngebolehin', 'ngurusin', 'pesta', 'demokrasi']",gatel ken nimbrung komen medsos debat capres tuntut kerja gak ngebolehin ngurusin pesta demokrasi
"kemarin keluarga nonton debat capres, akunya malah turu https://t.co/w2qbYjMsGM",kemarin keluarga nonton debat capres akunya malah turu httpstcowqbYjMsGM,kemarin keluarga nonton debat capres akunya malah turu httpstcowqbyjmsgm,"['kemarin', 'keluarga', 'nonton', 'debat', 'capres', 'akunya', 'malah', 'turu', 'httpstcowqbyjmsgm']","['kemarin', 'keluarga', 'nonton', 'debat', 'capres', 'akunya', 'turu', 'httpstcowqbyjmsgm']",kemarin keluarga nonton debat capres aku turu httpstcowqbyjmsgm
AMIN terbaik di debat capres perdana.   #AminTerbaikNomor1 #AminUnggulDebatCapres,AMIN terbaik di debat capres perdana   AminTerbaikNomor AminUnggulDebatCapres,amin terbaik di debat capres perdana   aminterbaiknomor aminungguldebatcapres,"['amin', 'terbaik', 'di', 'debat', 'capres', 'perdana', 'aminterbaiknomor', 'aminungguldebatcapres']","['amin', 'terbaik', 'debat', 'capres', 'perdana', 'aminterbaiknomor', 'aminungguldebatcapres']",amin baik debat capres perdana aminterbaiknomor aminungguldebatcapres
"Sementara Nggak ngikutin debat capres dlu, aku uda pusing sama hidupku, maaf bgt. Aku ngikut aja. Toh kalo ada apa2 aku sambat juga ga nyalahin pemerintah kok🙏",Sementara Nggak ngikutin debat capres dlu aku uda pusing sama hidupku maaf bgt Aku ngikut aja Toh kalo ada apa aku sambat juga ga nyalahin pemerintah kok,sementara nggak ngikutin debat capres dlu aku uda pusing sama hidupku maaf bgt aku ngikut aja toh kalo ada apa aku sambat juga ga nyalahin pemerintah kok,"['sementara', 'nggak', 'ngikutin', 'debat', 'capres', 'dlu', 'aku', 'uda', 'pusing', 'sama', 'hidupku', 'maaf', 'bgt', 'aku', 'ngikut', 'aja', 'toh', 'kalo', 'ada', 'apa', 'aku', 'sambat', 'juga', 'ga', 'nyalahin', 'pemerintah', 'kok']","['nggak', 'ngikutin', 'debat', 'capres', 'dlu', 'uda', 'pusing', 'hidupku', 'maaf', 'bgt', 'ngikut', 'aja', 'kalo', 'sambat', 'ga', 'nyalahin', 'pemerintah']",nggak ngikutin debat capres dlu uda pusing hidup maaf bgt ngikut aja kalo sambat ga nyalahin perintah
Ril debat capres seperti 1 &amp  3 vs 2 👺,Ril debat capres seperti  amp   vs  ,ril debat capres seperti  amp   vs  ,"['ril', 'debat', 'capres', 'seperti', 'amp', 'vs']","['ril', 'debat', 'capres', 'amp', 'vs']",ril debat capres amp vs
